Date,Team,Home,Opp,W_or_L,R,RA,W_L,Rank,GB,Win,Loss,Save,Time,D_N,Attendance
2023-03-30,PHI,Away,TEX,L,7,11,0-1,3,1,Ragans,Soto,NA,3:04,Day,38387
2023-04-01,PHI,Away,TEX,L,3,16,0-2,4,2,Eovaldi,Wheeler,NA,3:10,Day,31916
2023-04-02,PHI,Away,TEX,L,1,2,0-3,5,2.5,Pérez,Falter,Smith,2:24,Night,25823
2023-04-03,PHI,Away,NYY,L,1,8,0-4,5,3,Cortes,Walker,NA,2:41,Night,37202
2023-04-04,PHI,Away,NYY,W,4,1,1-4,4,3,Bellatti,Germán,NA,2:45,Night,35392
2023-04-05,PHI,Away,NYY,L,2,4,1-5,4,4,Cole,Nola,Holmes,2:30,Day,35847
2023-04-07,PHI,Home,CIN,W,5,2,2-5,4,3.5,Soto,Law,Kimbrel,2:43,Day,44365
2023-04-08,PHI,Home,CIN,W-wo,3,2,3-5,3,2.5,Vasquez,Díaz,NA,2:47,Day,44526
2023-04-09,PHI,Home,CIN,L,4,6,3-6,4,2.5,Herget,Domínguez,Gibaut,2:42,Day,39129
2023-04-10,PHI,Home,MIA,W,15,3,4-6,3,2.5,Strahm,Alcantara,NA,2:29,Night,28642
2023-04-11,PHI,Home,MIA,L,4,8,4-7,4,3.5,Luzardo,Nola,NA,2:57,Night,43444
2023-04-12,PHI,Home,MIA,L,2,3,4-8,4,4.5,Puk,Soto,NA,2:40,Day,29584
2023-04-13,PHI,Away,CIN,L,2,6,4-9,4,5,Lodolo,Falter,Díaz,2:34,Night,12170
2023-04-14,PHI,Away,CIN,W,8,3,5-9,4,5,Walker,Overton,NA,2:42,Night,17610
2023-04-15,PHI,Away,CIN,L,0,13,5-10,4,6,Ashcraft,Strahm,NA,2:39,Day,25860
2023-04-16,PHI,Away,CIN,W,14,3,6-10,4,6,Nola,Cessa,NA,3:02,Day,13115
2023-04-18,PHI,Away,CHW,W,7,4,7-10,4,7,Wheeler,Lynn,Alvarado,2:43,Day,NA
2023-04-18,PHI,Away,CHW,L,0,3,7-11,4,7,Giolito,Falter,López,2:09,Day,12542
2023-04-19,PHI,Away,CHW,W,5,2,8-11,4,6,Walker,Clevinger,Alvarado,2:23,Day,10149
2023-04-20,PHI,Home,COL,L,0,5,8-12,4,6.5,Feltner,Strahm,NA,2:40,Night,35062
2023-04-21,PHI,Home,COL,W,4,3,9-12,4,5.5,Domínguez,Hand,Alvarado,2:35,Night,43261
2023-04-22,PHI,Home,COL,W,4,3,10-12,4,4.5,Brogdon,Freeland,Kimbrel,2:26,Day,41939
2023-04-23,PHI,Home,COL,W,9,3,11-12,4,3.5,Wheeler,Ureña,NA,2:43,Day,44618
2023-04-25,PHI,Home,SEA,L,3,5,11-13,4,5,Gonzales,Falter,Sewald,2:38,Night,42323
2023-04-26,PHI,Home,SEA,W,6,5,12-13,3,5,Kimbrel,Topa,Alvarado,2:34,Night,32641
2023-04-27,PHI,Home,SEA,W,1,0,13-13,3,4,Strahm,Kirby,Kimbrel,2:04,Day,31543
2023-04-28,PHI,Away,HOU,W,3,1,14-13,3,4,Nola,Valdez,Alvarado,2:26,Night,40719
2023-04-29,PHI,Away,HOU,W,6,1,15-13,3,3.5,Wheeler,Javier,NA,2:51,Day,41240
2023-04-30,PHI,Away,HOU,L,3,4,15-14,4,4,Urquidy,Falter,Pressly,2:46,Night,41669
2023-05-01,PHI,Away,LAD,L,4,13,15-15,4,4.5,González,Walker,NA,2:49,Night,42137
2023-05-02,PHI,Away,LAD,L,1,13,15-16,4,5.5,Urías,Strahm,NA,2:44,Night,42780
2023-05-03,PHI,Away,LAD,L-wo,6,10,15-17,4,6.5,Graterol,Kimbrel,NA,2:56,Day,36539
2023-05-05,PHI,Home,BOS,L,3,5,15-18,4,7,Sale,Wheeler,Jansen,2:41,Night,43322
2023-05-06,PHI,Home,BOS,L,4,7,15-19,4,8,Kluber,Falter,Jansen,2:50,Night,43832
2023-05-07,PHI,Home,BOS,W,6,1,16-19,4,8,Walker,Houck,Strahm,2:14,Day,44669
2023-05-09,PHI,Home,TOR,W,8,4,17-19,3,8,Nola,Manoah,NA,3:10,Night,44544
2023-05-10,PHI,Home,TOR,W-wo,2,1,18-19,3,7,Kimbrel,Mayza,NA,2:56,Day,31758
2023-05-12,PHI,Away,COL,W,6,3,19-19,2,6,Strahm,Lawrence,Kimbrel,2:15,Night,32038
2023-05-13,PHI,Away,COL,W,7,4,20-19,2,5,Brogdon,Feltner,Soto,2:51,Night,34006
2023-05-14,PHI,Away,COL,L,0,4,20-20,2,5,Freeland,Nola,NA,2:33,Day,30325
2023-05-15,PHI,Away,SFG,L,3,6,20-21,2,6,Alexander,Falter,Doval,2:33,Night,23819
2023-05-16,PHI,Away,SFG,L,3,4,20-22,3,6,Rogers,Wheeler,Doval,2:42,Night,24304
2023-05-17,PHI,Away,SFG,L,4,7,20-23,4,7,Brebbia,Soto,Doval,2:55,Day,25303
2023-05-19,PHI,Home,CHC,L,1,10,20-24,4,8,Stroman,Suárez,NA,2:54,Night,42110
2023-05-20,PHI,Home,CHC,W,12,3,21-24,4,7,Nola,Taillon,NA,2:47,Day,42508
2023-05-21,PHI,Home,CHC,W,2,1,22-24,4,7,Strahm,Alzolay,Kimbrel,2:36,Day,44108
2023-05-22,PHI,Home,ARI,L,3,6,22-25,4,7,Henry,Wheeler,Chafin,2:57,Night,34040
2023-05-23,PHI,Home,ARI,L,3,4,22-26,4,7,Castro,Domínguez,NA,2:47,Night,33420
2023-05-24,PHI,Home,ARI,W-wo,6,5,23-26,4,7,Kimbrel,Ruiz,NA,3:32,Day,41544
2023-05-25,PHI,Away,ATL,L,5,8,23-27,4,8,Anderson,Soto,Iglesias,2:44,Night,43216
2023-05-26,PHI,Away,ATL,W,6,4,24-27,4,7,Walker,Jiménez,Kimbrel,2:55,Night,40533
2023-05-27,PHI,Away,ATL,W,2,1,25-27,4,6,Wheeler,Morton,Kimbrel,2:24,Day,42665
2023-05-28,PHI,Away,ATL,L,4,11,25-28,4,7,Strider,Covey,NA,2:52,Night,43109
2023-05-30,PHI,Away,NYM,L,0,2,25-29,4,6.5,Senga,Suárez,Robertson,2:20,Night,36236
2023-05-31,PHI,Away,NYM,L,1,4,25-30,4,7.5,Carrasco,Nola,Robertson,2:29,Night,39641
2023-06-01,PHI,Away,NYM,L,2,4,25-31,4,8,Scherzer,Walker,Smith,2:32,Day,38302
2023-06-02,PHI,Away,WSN,L,7,8,25-32,4,8,Finnegan,Brogdon,NA,3:18,Night,29827
2023-06-03,PHI,Away,WSN,W,4,2,26-32,4,8,Covey,Gore,Kimbrel,2:24,Day,30959
2023-06-04,PHI,Away,WSN,W,11,3,27-32,4,8,Suárez,Williams,NA,2:57,Day,29546
2023-06-05,PHI,Home,DET,W,8,3,28-32,4,7.5,Nola,Wentz,NA,2:47,Night,33196
2023-06-06,PHI,Home,DET,W,1,0,29-32,4,7.5,Walker,Alexander,Kimbrel,2:07,Night,36664
